X Y Z R G B
-2.638373976435305912e-01 -4.218663481613993960e-01 -8.235017009944781918e+00 8.300000000000000000e+01 6.100000000000000000e+01 3.800000000000000000e+01
-2.591851467242355378e-01 -7.274949333961332476e-01 -2.442040614189799896e+00 2.600000000000000000e+01 3.200000000000000000e+01 3.000000000000000000e+01
-3.631506036618453170e-01 -2.242037139311922611e-02 -8.721593357229787458e+00 5.300000000000000000e+01 3.200000000000000000e+01 2.300000000000000000e+01
1.702347567228010283e-01 -1.698922332478651764e-01 -8.705709182877162888e+00 6.500000000000000000e+01 4.500000000000000000e+01 3.700000000000000000e+01
-1.098114607329686715e-01 -2.279177845022828386e-01 -8.312086212397277407e+00 6.200000000000000000e+01 4.600000000000000000e+01 2.900000000000000000e+01
9.235140231834170210e-01 -7.667682960290785887e-01 -6.126475145050053861e+00 4.000000000000000000e+01 3.000000000000000000e+01 2.600000000000000000e+01
2.354074399550498686e-01 -1.207660363765993727e+00 -4.526495458527037385e+00 1.310000000000000000e+02 1.460000000000000000e+02 1.070000000000000000e+02
1.547033180247789907e-01 -9.508857203008499459e-01 -8.061666251850065024e+00 6.200000000000000000e+01 3.400000000000000000e+01 2.400000000000000000e+01
5.110774569859578564e-01 -4.704544516162220691e-01 -5.213492666678784637e+00 1.300000000000000000e+02 1.100000000000000000e+02 6.900000000000000000e+01
1.977393729976178738e-01 -5.844861961097044256e-01 -7.517002973018160006e+00 5.900000000000000000e+01 3.600000000000000000e+01 2.200000000000000000e+01
4.374079990390873918e-01 -1.118111824154521816e+00 -7.184590601292744516e+00 8.000000000000000000e+01 5.400000000000000000e+01 5.100000000000000000e+01
-3.714914885157402646e-02 -1.701018375654173020e-01 -8.646482212911026366e+00 5.900000000000000000e+01 3.800000000000000000e+01 2.400000000000000000e+01
2.740468433400740644e-01 -7.030424186603628778e-01 -3.491907229213694563e+00 1.780000000000000000e+02 1.490000000000000000e+02 5.500000000000000000e+01
4.276024303063387655e-01 -1.611513231105375921e+00 -3.434282981775439669e+00 1.210000000000000000e+02 1.450000000000000000e+02 1.000000000000000000e+02
