x y z r g b
-0.055191 -0.358866 1.975722 145 183 61
-0.767883 -0.507629 -1.908470 125 158 110
-1.585918 1.867000 2.976850 131 175 40
-0.919760 -0.638357 1.037198 132 170 109
0.611153 -4.458157 8.085379 122 164 72
-1.528037 1.586152 6.074411 135 178 85
-0.384142 1.169179 1.558628 120 159 86
0.495894 -5.369653 8.487303 132 168 101
-0.766637 1.892224 2.290457 111 157 85
-0.267575 -1.509306 0.779301 130 168 53
0.381448 -1.955035 5.125644 153 186 56
-0.727045 -1.240860 2.228685 158 188 51
-0.593407 -0.543965 2.250293 141 182 70
0.195664 -0.329537 -1.156611 127 171 107
2.374831 -5.232653 0.432735 136 165 106
1.279750 -4.878437 8.218431 125 166 75
2.510470 -4.570209 0.342003 109 157 107
0.545880 -2.316529 5.503761 142 177 44
-1.096471 2.117113 2.040946 137 178 84
-1.820531 2.385174 3.377299 132 174 37
0.057236 -1.087670 -2.527470 150 179 116
1.498696 -4.116933 8.197709 166 170 141
-1.937315 0.648090 5.531423 141 187 64
-0.984873 -0.631449 3.053037 148 187 78
-1.951115 2.950379 7.624704 117 165 84
2.233593 -4.049536 -0.508704 101 160 110
-0.940183 0.132761 -0.805575 136 162 123
-0.363554 -0.881751 -1.414999 118 159 106
-0.321965 -2.806196 5.156006 148 184 35
-0.049710 -0.262662 -0.767395 140 171 95
-0.697143 -0.456421 -0.749067 127 162 88
0.147909 -1.232786 0.009910 123 159 113
3.252384 -5.648592 0.635953 143 179 118
-0.129995 -0.524017 -1.596335 145 170 124
-0.491620 -1.448546 2.435200 131 178 82
-0.486998 -3.014147 6.021895 152 182 72
2.498343 -5.089776 0.788565 137 178 110
0.306776 -1.844247 3.013462 125 166 48
-1.568166 1.878659 6.160730 222 231 182
0.944424 -3.491521 7.568137 136 166 39
-0.139739 -1.373864 3.078497 121 167 86
-1.073649 0.927716 0.742341 127 167 116
3.047250 -5.985200 0.084820 136 162 143
0.140583 -0.941919 -0.285836 104 155 101
-0.041980 -1.072661 1.075210 116 160 92
1.037346 -2.833707 -0.480997 137 155 112
0.593985 -2.054895 -0.272940 230 250 250
-0.150037 -0.003733 -0.367483 126 165 92
-0.706054 -1.024192 -0.936521 115 160 91
-1.263419 1.902464 6.518209 153 191 111
-0.012093 -0.618366 -1.646646 154 165 79
-0.561155 0.508554 0.244682 139 166 105
0.126468 -1.112401 -0.139532 124 159 109
-1.483407 -0.799048 2.863570 143 175 31
-0.566387 -0.473661 3.041668 129 169 26
-0.730032 2.144692 2.594806 111 158 87
-0.214965 -1.320934 0.029256 143 176 39
0.468103 -1.373302 0.242314 133 159 121
-1.612771 2.224677 6.965002 133 169 92
3.022386 -5.653310 0.644032 143 175 114
0.324066 -5.919045 8.528856 134 173 49
0.202292 -2.288844 4.434087 136 176 34
-0.200515 -0.654132 -0.749857 137 175 95
0.758821 -5.452816 7.859378 129 167 85
-0.936643 -0.902980 0.402176 115 163 96
0.680959 -2.655795 4.302013 151 183 42
-0.087859 -0.922573 -1.534378 124 161 78
0.497151 -4.946859 8.605386 122 162 93
1.150703 -5.883877 8.394117 139 175 116
-0.025907 -0.504171 -1.063556 121 157 78
1.418811 -4.843559 8.265113 132 172 79
-0.402168 -1.085853 1.543628 133 171 84
0.297490 -1.322257 -1.179444 151 169 111
-0.848623 -0.342543 -0.409566 131 160 90
0.183537 -1.478757 -0.319642 141 167 92
-1.766700 2.574981 3.384138 133 176 39
0.073038 -2.480675 4.483373 136 176 52
1.967790 -4.350553 0.602373 135 173 102
0.079786 -1.481872 -0.799776 148 168 97
-2.392307 1.980559 6.637490 131 169 55
-0.240351 -0.140164 -0.915563 140 175 102
-0.002529 -1.270102 -1.382667 133 163 103
